Complaint Name,External ID,IFI Support,Sector,Issues,"If No Eligibility, Why?"
TCQ-01/Puerto Quetzal,219,"Equity Investment, Project/investment lending",Infrastructure,"Consultation and disclosure, Due diligence, Livelihoods, Other environmental, Water",
TD Bank,no_id_21_47,,Other,Other,Unknown
TES,SG/E/2011/02,Project/investment lending,"Energy, Infrastructure","Due diligence, Other, Other environmental",
Tajikistan Framework Agreement,SG/A/2009/03,,Other,Consultation and disclosure,
Tanahu Hydropower Project,no_id_25_32,Project/investment lending,"Energy, Infrastructure",Corruption/fraud,"Outside of mandate, Forwarded to other body within bank, Outside of mandate"
Tanzania Road Support Project II,RQ 2012/1,Project/investment lending,Infrastructure,Displacement (physical and/or economic),
Tata Tea-02/Assam,195,Equity Investment,Agribusiness,"Due diligence, Human rights, Labor, Other, Other community health and safety issues, Other retaliation (actual or feared)",
Tata Tea/CAO Vice President Request,192,Equity Investment,Agribusiness,"Due diligence, Labor, Other community health and safety issues, Violence against the community (by gov't and/or company)",
Tata Ultra Mega-01/Mundra and Anjar,171,"Equity Investment, Project/investment lending","Energy, Infrastructure","Displacement (physical and/or economic), Due diligence, Livelihoods, Other, Other environmental, Pollution, Water",
Tax Administration Reform Project,64,Project/investment lending,Regulatory Development,"Livelihoods, Other",
Tbilisi Railway Bypass 1,2011/01,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence",
Tbilisi Railway Bypass 2,2011/02,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other, Other community health and safety issues, Pollution, Water",
Tbilisi Railway Bypass 3,2011/03,Project/investment lending,Infrastructure,Displacement (physical and/or economic),
Tbilisi Railway Bypass 4,2011/04,Project/investment lending,Infrastructure,Other community health and safety issues,
Tecnosul-01/Ica,no_id_21_27,No IFI involvement,Chemicals,Other,Outside of mandate
Terminal Contenedores Cadiz,SG/E/2011/18,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other environmental",
Terminal Contenedores Cadiz 2,SG/E/2013/03/Confirmatory,Project/investment lending,Infrastructure,Other environmental,Unknown
Termoelectrica del Golfo Project,ME-MICI001-2011,Project/investment lending,Energy,"Livelihoods, Other community health and safety issues, Water",Issues previously raised
Termovalorizzatore Firenze,SG/E/2015/06/PR,Project/investment lending,"Energy, Infrastructure",Due diligence,
Termovalorizzatore Firenze 2,SG/E/2015/06/PRSG/E/2015/08,Project/investment lending,"Energy, Infrastructure",Other,
The Nairobi River Rehabilitation and Restoration Program: Sewerage Improvement Project,RQ2015/3,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Other community health and safety issues, Property damage, Water",
Thermal Power Plant Sostanj,SG/A/2012/01/PR,,Energy,Consultation and disclosure,Unknown
Thilawa Special Economic Zone (Class-A Area) Development Project,myanmar_01,Project/investment lending,"Infrastructure, Manufacturing","Displacement (physical and/or economic), Livelihoods, Other, Water",
"Third Employment, Entrepreneurship and Human Capital Development Policy Loan (not registered)",68,Project/investment lending,Other,Other,Outside of mandate
"Third Power Project, Fourth Power Project, and proposed Bujagali Hydropower Project",24,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Other",
Togo LCT-01/Lome,232,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Due diligence, Livelihoods, Other environmental, Other retaliation (actual or feared)",
Torun Bridge,SG/E/2010/15,Project/investment lending,Infrastructure,"Due diligence, Other, Other environmental",
Training Program for Women Heads of Household,MICI-CO-2011-018,,Other,Other,Unknown
Transit Roads V Lot 17,SG/E/2012/13,Project/investment lending,Other,"Due diligence, Other","Outside of mandate, Outside of mandate"
Transitional Support for Economic Recovery Credit and Emergency Economic and Social Reunification Support Project,37,Project/investment lending,"Forestry, Regulatory Development","Consultation and disclosure, Cultural heritage, Due diligence, Human rights, Indigenous peoples, Other environmental",
Transmission System Support in Paraguay,MICI-PR-2015-0086,Project/investment lending,Energy,Other,Outside of mandate
Transport Lending Policy,SG/E/2008/06,,Other,Consultation and disclosure,
Transport Sector Development Project - Additional Financing,98,Project/investment lending,Infrastructure,Other,
Tsodilo-01/Badplaas,203,Equity Investment,"Extractives (oil, gas, mining)","Biodiversity, Consultation and disclosure, Cultural heritage, Livelihoods, Pollution",
"Tullow Oil, Kosmos Energy & Jubilee FPSO-01/CAO Vice President Request",166,"Equity Investment, Project/investment lending","Extractives (oil, gas, mining)","Due diligence, Other community health and safety issues, Pollution",
Turk Traktor,2015/03,Project/investment lending,Manufacturing,Labor,
Twin City Centrum,no_id_21_43,,Other,Other,Unknown
UHG-ADM-01/ Turkey,no_id_21_63,,Other,Other,Unknown
Ukrainian Agribusiness,,,Agribusiness,Other,
Unknown ADB 1,no_id_25_37,,Other,Procurement,"Forwarded to other body within bank, Outside of mandate"
Unknown ADB 2,no_id_25_41,,Other,Other,Outside of mandate
Unknown ADB 3,no_id_25_43,,Other,Procurement,"Forwarded to other body within bank, Outside of mandate"
Unknown ADB 4,no_id_25_49,,Other,Other,Outside of mandate
Unknown ADB 5,no_id_25_53,,Other,Other,"Forwarded to other body within bank, Outside of mandate"
Unknown AfDB 1,no_id_28_8,,Other,Other,Unknown
Unknown AfDB 2,no_id_28_9,,Other,Other,Unknown
Unknown CAO 1,no_id_21_97,,Other,Other,Unknown
Unknown CAO 10,no_id_21_106,,Other,Other,Unknown
Unknown CAO 11,no_id_21_107,,Other,Other,Unknown
Unknown CAO 2,no_id_21_98,,Other,Other,Unknown
Unknown CAO 3,no_id_21_99,,Other,Other,Unknown
Unknown CAO 4,no_id_21_100,,Other,Other,Unknown
Unknown CAO 5,no_id_21_101,,Other,Other,Unknown
Unknown CAO 6,no_id_21_102,,Other,Other,Unknown
Unknown CAO 7,no_id_21_103,,Other,Other,Unknown
Unknown CAO 8,no_id_21_104,,Other,Other,Unknown
Unknown CAO 9,no_id_21_105,,Other,Other,Unknown
Unknown FMO 1,no_id_38_1,,Other,Other,Unknown
Unknown FMO 2,no_id_38_2,,Other,Other,Unknown
Unknown FMO 3,no_id_38_3,,Other,Other,Unknown
Unknown IRM 1,no_id_27_1,,Other,Other,Unknown
Unknown IRM 2,no_id_27_2,,Other,Other,Unknown
Unknown IRM 3,no_id_27_3,,Other,Other,Unknown
Unknown IRM 4,no_id_27_4,,Other,Other,Unknown
Unknown IRM 5,no_id_27_5,,Other,Other,Unknown
Unknown IRM 6,no_id_27_6,,Other,Other,Unknown
Unknown IRM 7,no_id_27_7,,Other,Other,Unknown
Unknown IRM 8,no_id_27_8,,Other,Other,Unknown
Unknown MICI 1,MICI-BO-2012-037,,Other,Other,Unknown
Unknown MICI 2,MICI-ME-2013-059,,Other,Other,Unknown
Unknown OPIC 1,no_id_22_2,,Other,Other,Filer Issue
Unknown OPIC 2,no_id_22_3,,Other,Other,Filer Issue
Unknown OPIC 3,no_id_22_4,,Other,Other,Unknown
Unknown OPIC 4,no_id_22_5,,Other,Other,Unknown
Unknown OPIC 5,no_id_22_6,,Other,Other,Unknown
Unknown PCM 1,no_id_26_1,,Other,Other,Unknown
Unknown PCM 10,no_id_26_10,,Other,Other,Unknown
Unknown PCM 11,no_id_26_11,,Other,Other,Unknown
Unknown PCM 12,no_id_26_12,,Other,Other,Unknown
Unknown PCM 13,no_id_26_13,,Other,Other,Unknown
Unknown PCM 14,no_id_26_14,,Other,Other,Unknown
Unknown PCM 15,no_id_26_15,,Other,Other,Unknown
Unknown PCM 16,no_id_26_16,,Other,Other,Unknown
Unknown PCM 17,no_id_26_17,,Other,Other,Unknown
Unknown PCM 18,no_id_26_18,,Other,Other,Unknown
Unknown PCM 19,no_id_26_19,,Other,Other,Unknown
Unknown PCM 2,no_id_26_2,,Other,Other,Unknown
Unknown PCM 20,no_id_26_20,,Other,Other,Unknown
Unknown PCM 21,no_id_26_21,,Other,Other,Unknown
Unknown PCM 22,no_id_26_22,,Other,Other,Unknown
Unknown PCM 23,no_id_26_23,,Other,Other,Unknown
Unknown PCM 24,no_id_26_24,,Other,Other,Unknown
Unknown PCM 25,no_id_26_25,,Other,Other,Unknown
Unknown PCM 26,no_id_26_26,,Other,Other,Unknown
Unknown PCM 27,no_id_26_27,,Other,Other,Unknown
Unknown PCM 28,no_id_26_28,,Other,Other,Unknown
Unknown PCM 29,no_id_26_29,,Other,Other,Unknown
Unknown PCM 3,no_id_26_3,,Other,Other,Unknown
Unknown PCM 30,no_id_26_30,,Other,Other,Unknown
Unknown PCM 31,no_id_26_31,,Other,Other,Unknown
Unknown PCM 32,no_id_26_32,,Other,Other,Unknown
Unknown PCM 33,no_id_26_33,,Other,Other,Unknown
Unknown PCM 34,no_id_26_34,,Other,Other,Unknown
Unknown PCM 35,no_id_26_35,,Other,Other,Unknown
Unknown PCM 36,no_id_26_36,,Other,Other,Unknown
Unknown PCM 37,no_id_26_37,,Other,Other,Unknown
Unknown PCM 38,no_id_26_38,,Other,Other,Unknown
Unknown PCM 39,no_id_26_39,,Other,Other,Unknown
Unknown PCM 4,no_id_26_4,,Other,Other,Unknown
Unknown PCM 40,no_id_26_40,,Other,Other,Unknown
Unknown PCM 41,no_id_26_41,,Other,Other,Unknown
Unknown PCM 42,no_id_26_42,,Other,Other,Unknown
Unknown PCM 43,no_id_26_43,,Other,Other,Unknown
Unknown PCM 44,no_id_26_44,,Other,Other,Unknown
Unknown PCM 45,no_id_26_45,,Other,Other,Unknown
Unknown PCM 46,no_id_26_46,,Other,Other,Unknown
Unknown PCM 47,no_id_26_47,,Other,Other,Unknown
Unknown PCM 48,no_id_26_48,,Other,Other,Unknown
Unknown PCM 49,no_id_26_49,,Other,Other,Unknown
Unknown PCM 5,no_id_26_5,,Other,Other,Unknown
Unknown PCM 50,no_id_26_50,,Other,Other,Unknown
Unknown PCM 51,no_id_26_51,,Other,Other,Unknown
Unknown PCM 52,no_id_26_52,,Other,Other,Unknown
Unknown PCM 53,no_id_26_53,,Other,Other,Unknown
Unknown PCM 54,no_id_26_54,,Other,Other,Unknown
Unknown PCM 55,no_id_26_55,,Other,Other,Unknown
Unknown PCM 56,no_id_26_56,,Other,Other,Unknown
Unknown PCM 57,no_id_26_57,,Other,Other,Unknown
Unknown PCM 58,no_id_26_58,,Other,Other,Unknown
Unknown PCM 59,no_id_26_59,,Other,Other,Unknown
Unknown PCM 6,no_id_26_6,,Other,Other,Unknown
Unknown PCM 7,no_id_26_7,,Other,Other,Unknown
Unknown PCM 8,no_id_26_8,,Other,Other,Unknown
Unknown PCM 9,no_id_26_9,,Other,Other,Unknown
"Upgrading Informal Settlements in Barranquilla, Colombia",MICI-CO-2013-071,,Other,Other,Unknown
Upper Trishuli 1-02,no_id_21_65,,Other,Other,Unknown
Urban Development Project and Douala Infrastructure Development Project (not registered),50,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Other community health and safety issues, Violence against the community (by gov't and/or company)",Funding and/or consideration ended
Urban Public and Environmental Health Sector Development Program,no_id_25_46,"Advisory services, Project/investment lending","Healthcare, Regulatory Development",Procurement,"Forwarded to other body within bank, Outside of mandate"
Urban and Environmental Improvement Project,7-Jan,Project/investment lending,"Community capacity and development, Infrastructure","Other community health and safety issues, Other environmental",Good faith requirement not met
Uttarakhand Emergency Assistance Project,no_id_25_48,Project/investment lending,"Infrastructure, Other",Procurement,"Forwarded to other body within bank, Outside of mandate"
Uttarakhand Urban Sector Development Investment Program - Roorkee Sewerage Subproject Tranche II,no_id_25_35,Project/investment lending,Infrastructure,Procurement,"Outside of mandate, Forwarded to other body within bank, Outside of mandate"
Uttarakhand Urban Sector Development Investment Program- Project 1,no_id_25_45,Project/investment lending,Infrastructure,Other,Addressed outside process
Uttaranchal Decentralized Watershed Development Project,45,Project/investment lending,"Community capacity and development, Conservation and environmental protection","Consultation and disclosure, Other, Water",
VEIL II-01/ Ratanakiri Province,212,Equity Investment,"Agribusiness, Other","Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Labor, Livelihoods, Other retaliation (actual or feared), Pollution, Property damage, Water",
Valencia Centros Escolares El Bracal,SG/E/2013/07,,Education,Other,
Valencia Centros Escolares Emilio Lluch,SG/E/2012/05,Project/investment lending,"Education, Infrastructure","Other, Other community health and safety issues",
"Valencia Centros Escolares Joan Ribera, Spain",SG/E/2013/05,,Education,Other,
Valencia Centros Escolares Severi Torres,SG/E/2014/03,,"Education, Infrastructure",Other,
Variante San Francisco Mocoa,MICI-CO-2013-062,,Other,Other,Unknown
Vasilikos-Western Nicosia Conveyor Water Supply,SG/E/2015/09/PR,Project/investment lending,Infrastructure,Water,
Visayas Base-Load Power Project,11-Mar,Project/investment lending,Energy,"Consultation and disclosure, Due diligence, Other community health and safety issues, Other environmental, Pollution",
Vishnugad Pipalkoti Hydro Electric Project,81,Project/investment lending,Energy,"Biodiversity, Consultation and disclosure, Cultural heritage, Due diligence, Livelihoods, Other community health and safety issues, Other environmental, Other gender-related issues, Pollution, Water",
Vizhinjam-01/Kerala,189,Advisory services,Infrastructure,"Displacement (physical and/or economic), Due diligence, Livelihoods, Water",
Vizhinjam-02/Kerala,190,Advisory services,Infrastructure,"Biodiversity, Displacement (physical and/or economic), Livelihoods, Pollution",
Vizhinjam-03/Mulloor,200,Advisory services,Infrastructure,"Livelihoods, Water",
Vizhinjam-04/ Kerala,no_id_21_79,,Other,Other,Unknown
Vladivostok CHP Project,SG/E/2015/02,Project/investment lending,"Energy, Infrastructure",Other environmental,
Vlore Thermal Power Generation Project,2007/01,Project/investment lending,Energy,"Biodiversity, Consultation and disclosure, Due diligence, Livelihoods, Other environmental",
Warsaw Ring Road,SG/E/2011/01,,Infrastructure,"Consultation and disclosure, Pollution, Property damage, Water",Mechanism deemed involvement unnecessary
Waste Disposal Plant in Grad Varazd,SG/E/2012/03,,Other,"Other environmental, Pollution","Unknown, Complaint withdrawn"
Wastewater Infrastructure Rehabilitation Program,MICI-TT-2013-057,,Other,Other,Unknown
Water Infrastructure: Northern Provinces Development,MICI-AR-2012-050,,Other,Other,Unknown
Water Supply and Sanitation Services Investment Program,no_id_25_31,Project/investment lending,Infrastructure,Procurement,"Outside of mandate, Forwarded to other body within bank, Outside of mandate"
West African Gas Pipeline Project,40,Risk Guarantee,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Other community health and safety issues",
Western Europe-Western People's Republic of China International Transit Corridor,no_id_25_4,,Other,Other,Unknown
Western Poverty Reduction Project,16,Project/investment lending,"Agribusiness, Infrastructure","Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods",
Wilmar Group-01/West Kalimantan,76,"Project/investment lending, Risk Guarantee",Agribusiness,"Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods, Other, Other environmental, Other retaliation (actual or feared), Violence against the community (by gov't and/or company)",
Wilmar Group-02/Sumatra,79,"Project/investment lending, Risk Guarantee",Agribusiness,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods, Other, Other environmental",
Wilmar Group-03/Jambi,177,"Project/investment lending, Risk Guarantee",Agribusiness,"Displacement (physical and/or economic), Human rights, Other, Property damage, Violence against the community (by gov't and/or company)",
Yacyreta Hydroelectric Project,7,Project/investment lending,Energy,"Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Pollution, Water",
Yanacocha-01/Cajamarca,110,Project/investment lending,"Extractives (oil, gas, mining)","Other, Other community health and safety issues, Pollution",
Yanacocha-02/Cajamarca,111,Project/investment lending,"Extractives (oil, gas, mining)","Consultation and disclosure, Livelihoods, Pollution, Water",
Yanacocha-03/Cajamarca,112,Project/investment lending,"Extractives (oil, gas, mining)","Pollution, Water",
Yanacocha-04/Cajamarca,193,"Equity Investment, Project/investment lending","Extractives (oil, gas, mining)",Displacement (physical and/or economic),
Yanacocha-05/Cajamarca,204,"Equity Investment, Project/investment lending","Extractives (oil, gas, mining)",Displacement (physical and/or economic),
Yanacocha-06/Cajamarca,216,Equity Investment,"Extractives (oil, gas, mining)",Labor,
Yanacocha-07/Cajamarca,220,"Equity Investment, Project/investment lending","Extractives (oil, gas, mining)",Displacement (physical and/or economic),
Zadar Port,SG/E/2009/08,,Infrastructure,Displacement (physical and/or economic),
Zvartnots Airport Expansion Project,13-Mar,,Other,"Consultation and disclosure, Displacement (physical and/or economic)","Mechanism deemed involvement unnecessary, Addressed outside process"
Zvartnots Airport Expansion Project,13-May,,Other,Other,Addressed outside process
